"county","district","cds","ts2_col","ts2_col1","ts2_col1a","ts2_col2","ts2_col3","ts2_col3a","ts2_id"
"01","10017","0110017",1,"EMERG/  ","INTERN","","","",3594
"01","10017","0110017",2,"PRELIM   ","AND ","CLEAR","","",3595
"01","61119","0161119",1,"BA          ","","","","",1582
"01","61119","0161119",2,"BA+30        ","","","","",1583
"01","61119","0161119",3,"BA+45        ","","","","",1584
"01","61119","0161119",4,"BA+60      ","","","","",1585
"01","61119","0161119",5,"BA+75              ","","","","",1586
"01","61127","0161127",1,"BA<60     ","OR","MA","","",1019
"01","61127","0161127",2,"BA+60    ","OR  ","MA+12   ","","",1020
"01","61127","0161127",3,"BA+75       ","OR","MA+24","","",1021
"01","61143","0161143",1,"BA  ","EMERG/ ","INTERN","","",4983
"01","61143","0161143",2,"BA+24  ","","","","",4984
"01","61143","0161143",3,"BA+36  ","","","","",4985
"01","61143","0161143",4,"BA+48 ","OR","MA","","",4986
"01","61143","0161143",5,"BA+60 OR   ","BA+42+MA ","OR MA+12","","",4987
"01","61143","0161143",6,"BA+72 OR  ","BA+54+MA","OR MA+24","","",4988
"01","61143","0161143",7,"BA+84 OR   ","BA+66+MA","OR MA+36","","",4989
"01","61150","0161150",1,"INTERN  ","EMERG ","","","",3543
"01","61150","0161150",2,"BA+30      ","","","","",3544
"01","61150","0161150",3,"BA+45               ","     ","","","",3545
"01","61150","0161150",4,"BA+60      ","","","","",3546
"01","61150","0161150",5,"BA+75        ","","","","",3547
"01","61150","0161150",6,"BA+85        ","","","","",3548
"01","61150","0161150",7,"BA+95            ","","","","",3549
"01","61176","0161176",1,"BA                  ","","",,,63
"01","61176","0161176",2,"BA+45            ","","",,,64
"01","61176","0161176",3,"BA+60            ","","",,,65
"01","61176","0161176",4,"BA+75            ","","",,,66
"01","61192","0161192",1,"BA             ","","","","",4371
"01","61192","0161192",2,"BA+15    ","","","","",4372
"01","61192","0161192",3,"BA+30    ","","","","",4373
"01","61192","0161192",4,"BA+45    ","","","","",4374
"01","61192","0161192",5,"BA+60    ","","","","",4375
"01","61192","0161192",6,"BA+90  ","OR","MA+30  ","","",4376
"01","61200","0161200",1,"BA         ","NON-CRED ","","","",4795
"01","61200","0161200",2,"BA+15       ","NON-CRED ","","","",4797
"01","61200","0161200",3,"BA+30       ","NON-CRED ","","","",4799
"01","61200","0161200",4,"BA+45       ","NON-CRED ","","","",4801
"01","61200","0161200",5,"BA+CRED        ","","","","",4796
"01","61200","0161200",6,"BA+15+CRED      ","","","","",4798
"01","61200","0161200",7,"BA+30+CRED      ","","","","",4800
"01","61200","0161200",8,"BA+45+CRED      ","","","","",4802
"01","61200","0161200",9,"BA+60+CRED      ","","","","",4803
"01","61200","0161200",10,"BA+75+CRED          ","","","","",4804
"01","61234","0161234",1,"BA+30               ","     ","","","",1159
"01","61234","0161234",2,"BA+45               ","   ","","","",1160
"01","61234","0161234",3,"BA+60               ","   ","","","",1161
"01","61234","0161234",4,"BA+75               ","         ","","","",1162
"01","61242","0161242",1,"INTERN          ","","","","",2357
"01","61242","0161242",2,"PROV        ","","","","",2358
"01","61242","0161242",3,"BA<30            ","","","","",2359
"01","61242","0161242",4,"BA+30               ","           ","","","",2360
"01","61242","0161242",5,"BA+45               ","     ","","","",2361
"01","61242","0161242",6,"BA+60               ","   ","","","",2362
"01","61242","0161242",7,"BA+75               ","         ","","","",2363
"01","61259","0161259",1,"BA                ","","","","",3860
"01","61259","0161259",2,"BA+30          ","","","","",3861
"01","61259","0161259",3,"BA+45          ","","","","",3862
"01","61259","0161259",4,"BA+60        ","","","","",3863
"01","61259","0161259",5,"BA+75          ","","","","",3864
"01","61259","0161259",6,"BA+90            ","","","","",3865
"01","61291","0161291",1,"BA          ","TO","44","","",1077
"01","61291","0161291",2,"BA+45               "," ","","","",1078
"01","61291","0161291",3,"BA+60            ","","","","",1079
"01","61291","0161291",4,"BA+70            ","","","","",1080
"01","61291","0161291",5,"BA+80          ","","","","",1081
"01","61291","0161291",6,"BA+90        ","","","","",1082
"01","61291","0161291",7,"BA+100          ","","","","",1083
"01","61309","0161309",1,"BA<45  ","","","","",5086
"01","61309","0161309",2,"BA+45","","","","",5087
"01","61309","0161309",3,"BA+60","","","","",5088
"01","61309","0161309",4,"BA+75","","","","",5089
"01","61309","0161309",5,"BA+90  ","","","","",5090
"01","75093","0175093",1,"BA<45      ","EMERG ","","","",4773
"01","75093","0175093",2,"BA+45  ","EMERG ","","","",4774
"01","75093","0175093",3,"BA<45            ","","","","",4775
"01","75093","0175093",4,"BA+45         ","","","","",4776
"01","75093","0175093",5,"BA+60            ","","","","",4777
"01","75093","0175093",6,"BA+75      ","","","","",4778
"01","75101","0175101",1,"BA<30","NON-CRED","","","",1789
"01","75101","0175101",2,"BA+30","NON-CRED","","","",1791
"01","75101","0175101",3,"BA+45","NON-CRED","","","",1793
"01","75101","0175101",4,"BA<30","","","","",1790
"01","75101","0175101",5,"BA+30","","","","",1792
"01","75101","0175101",6,"BA+45","","","","",1794
"01","75101","0175101",7,"BA+60","","","","",1795
"01","75101","0175101",8,"BA+75","","","","",1796
"03","73981","0373981",1,"PRELIM  ","CRED","","","",1365
"03","73981","0373981",2,"BA+CRED    ","","","","",1366
"03","73981","0373981",3,"BA+30  ","","","","",1367
"03","73981","0373981",4,"BA+45","OR","MA","","",1368
"03","73981","0373981",5,"BA+60  ","OR","MA+15","","",1369
"03","73981","0373981",6,"BA+75","OR","MA+30","","",1370
"04","10041","0410041",1,"EMERG","INTERN","","","",206
"04","10041","0410041",2,"BA/ ","DSC ","","","",207
"04","10041","0410041",3,"BA+24    ","","","","",208
"04","10041","0410041",4,"BA+45","OR","MA","","",238
"04","10041","0410041",5,"BA+60  ","OR","MA+15","","",245
"04","61382","0461382",1,"BA+30      ","","","","",5073
"04","61382","0461382",2,"BA+45      ","","","","",5074
"04","61382","0461382",3,"BA+60  ","","","","",5075
"04","61382","0461382",4,"BA+75  ","","","","",5076
"04","61408","0461408",1,"BA+30","","","","",4946
"04","61408","0461408",2,"BA+45","","","","",4947
"04","61408","0461408",3,"BA+60","OR","MA","","",4948
"04","61408","0461408",4,"BA+75 ","OR","MA+15","","",4949
"04","61424","0461424",1,"BA          ","TO","44","","",1963
"04","61424","0461424",2,"BA+45       ","","","","",1964
"04","61424","0461424",3,"BA+60               ","  ","","","",1965
"04","61432","0461432",1,"BA                  ","                    ","    ",,,2436
"04","61432","0461432",2,"BA+30               ","               ","",,,2437
"04","61432","0461432",3,"BA+45               ","         ","",,,2438
"04","61432","0461432",4,"BA+60               ","                    ","         ",,,2439
"04","61499","0461499",1,"BA+30      ","","","","",4128
"04","61499","0461499",2,"BA+45        ","","","","",4129
"04","61499","0461499",3,"BA+60    ","","","","",4130
"04","61507","0461507",1,"BA+30      ","","","","",463
"04","61507","0461507",2,"BA+45    ","","","","",464
"04","61507","0461507",3,"BA+60    ","","","","",465
"04","61507","0461507",4,"BA+75    ","","","","",466
"04","61515","0461515",1,"BA  ","OR","BA+15","","",3518
"04","61515","0461515",2,"BA+30  ","OR","MA","","",3519
"04","61515","0461515",3,"BA+45","OR","MA+15","","",3524
"04","61515","0461515",4,"BA+60 ","OR","MA+30","","",3536
"04","61523","0461523",1,"BA+44               ","                    ","                   ",,,5069
"04","61523","0461523",2,"BA+45               ","                    ","                   ",,,5070
"04","61523","0461523",3,"BA+60               ","                    ","         ",,,5071
"04","61531","0461531",1,"BA+30              ","","",,,4066
"04","61531","0461531",2,"BA+45              ","","",,,4067
"04","61531","0461531",3,"BA+60               ","   ","",,,4068
"04","61549","0461549",1,"BA     ","TO","44","","",1628
"04","61549","0461549",2,"BA+45    ","","","","",1629
"04","61549","0461549",3,"BA+60        ","","","","",1630
"04","73379","0473379",1,"BA+30          ","","","","",4377
"04","73379","0473379",2,"BA+45  ","","","","",4378
"04","73379","0473379",3,"BA+60          ","","","","",4379
"04","73379","0473379",4,"BA+75","OR","MA","","",4380
"04","75507","0475507",1,"BA        ","","",,,1084
"04","75507","0475507",2,"BA+30    ","","",,,1085
"04","75507","0475507",3,"BA+45          ","","",,,1086
"04","75507","0475507",4,"BA+60      ","","",,,1087
"04","75507","0475507",5,"BA+75    ","","",,,1088
"05","10058","0510058",1,"BA+30        ","","","","",2898
"05","10058","0510058",2,"BA+45        ","","","","",2899
"05","10058","0510058",3,"BA+60","OR","MA","","",2900
"05","10058","0510058",4,"BA+75","OR","MA+15","","",2901
"05","10058","0510058",5,"BA+90 ","OR","MA+30","","",2902
"05","10058","0510058",6,"BA+30    ","SPEC ED","","","",2903
"05","10058","0510058",7,"BA+45    ","SPEC ED","","","",2904
"05","10058","0510058",8,"BA+60 ","OR MA","SPEC ED","","",2905
"05","10058","0510058",9,"BA+75","OR MA+15","SPEC ED","","",2906
"05","10058","0510058",10,"BA+90  ","OR MA+30","SPEC ED","","",2907
"05","61556","0561556",1,"BA","","","","",1217
"05","61556","0561556",2,"BA+30  ","","","","",1218
"05","61556","0561556",3,"BA+36  ","","","","",1229
"05","61556","0561556",4,"BA+42  ","","","","",1230
"05","61556","0561556",5,"BA+48    ","","","","",1231
"05","61556","0561556",6,"BA+54  ","","","","",1232
"05","61556","0561556",7,"BA+60  ","","","","",1238
"05","61556","0561556",8,"BA+66      ","","","","",1239
"05","61556","0561556",9,"BA+72      ","","","","",1240
"05","61556","0561556",10,"BA+78            ","","","","",1241
"05","61556","0561556",11,"BA+84        ","","","","",1242
"05","61556","0561556",12,"BA+90      ","","","","",1247
"05","61564","0561564",1,"BA  ","","","","",1518
"05","61564","0561564",2,"BA+45","","","","",1519
"05","61564","0561564",3,"BA+60  ","","","","",1520
"05","61564","0561564",4,"BA+75","","","","",1521
"05","61564","0561564",5,"BA+90  ","","","","",1522
"05","61572","0561572",1,"INTERN      ","","","","",2500
"05","61572","0561572",2,"BA+24        ","","","","",2501
"05","61572","0561572",3,"BA+36          ","","","","",2502
"05","61572","0561572",4,"BA+48          ","","","","",2503
"05","61572","0561572",5,"BA+60  ","","","","",2504
"05","61572","0561572",6,"BA+72      ","","","","",2505
"05","61580","0561580",1,"NON-CRED"," ","  ","","",608
"05","61580","0561580",2,"BA+30           ","   ","","","",616
"05","61580","0561580",3,"BA+45  ","OR","MA+30","","",628
"05","61580","0561580",4,"BA+60","OR","MA+45  ","","",633
"05","61580","0561580",5,"BA+75","OR","MA+60","","",634
"05","61580","0561580",6,"BA+90 ","OR","MA+75","","",637
"05","61580","0561580",7,"BA+105 ","OR","MA+90","","",638
"05","61580","0561580",8,"BA+120  ","OR","MA+105","","",639
"06","10066","0610066",1,"INTERN","","","","",2106
"06","10066","0610066",2,"BA+30","","","","",2107
"06","10066","0610066",3,"BA+45","","","","",2108
"06","10066","0610066",4,"BA+60","","","","",2109
"06","10066","0610066",5,"BA+75","","","","",2110
"06","61598","0661598",1,"BA+15    ","","","","",3525
"06","61598","0661598",2,"BA+30  ","","","","",3526
